Site	Subspecies	Common name	Total DNA Concentration (ng/ul)	Endogenous DNA (qPCR - pg/ul)	% Endogenous DNA	Average Fragment Size	Sequencing Batch	Capture Pool	Starting DNA (ug)	Mapped Reads	Percentage Mapped Reads	Unique Reads	Percentage Unique Reads	Reliable Reads	Percentage Reliable Reads	OnTarget Reliable Reads	OnTarget Reliable Bases	Percentage OnTarget Reliable Reads	Percentage OnTarget Reliable Bases	Coverage OnTarget	Enrichment	Specificity	LC	DP1	DP4	DP10	DP20	DP50
Mapped Reads	0.563409386161263	0.239448849672758	0.239448849672758	-0.107888891346492	-0.0995220733461705	0.0104704667682641	-0.0470333037896948	0.322029850005644	0.482658330419256	-0.400231030299954	1	0.999990666221756	0.144200929610673	0.144104260256365	0.147503904490242	0.147518973754775	0.189723033090423	0.196742847917464	0.189723033090423	0.196742847917464	0.196742847917464	0.147503904490242	0.478132739980133	0.0906398842967092	0.22144570655799	0.20888342281352	0.104384971540256	0.0919877469367588	0.0342017616009475
Percentage Mapped Reads	0.563438500899105	0.239398313312969	0.239398313312969	-0.10768917921651	-0.0993322023817736	0.01042001523259	-0.0468951615542496	0.322006429896603	0.482724038906824	-0.400755843340182	0.999990666221756	1	0.143931886451791	0.143835653403061	0.147229933568773	0.14724500261255	0.189426413323882	0.19643783494167	0.189426413323882	0.19643783494167	0.19643783494167	0.147229933568773	0.478022571824445	0.0903691744786867	0.221054731698635	0.208591794254006	0.104166159257072	0.0917283839996451	0.0339813449356694
Unique Reads	0.418950411723271	0.300343176012561	0.300343176012562	0.117691783455282	0.201841322562453	0.320277402905926	0.21134109470278	0.663538687829876	0.734203388831863	0.266694327372273	0.144200929610673	0.143931886451791	1	0.999998833282824	0.999961498355659	0.999961644145738	0.98986254473448	0.98924695742214	0.98986254473448	0.98924695742214	0.98924695742214	0.999961498355659	0.165969796626731	0.996551769398485	0.963814537363483	0.912384713659157	0.888365509255918	0.898358793312422	0.740287042263911
Percentage Unique Reads	0.418953068894218	0.300336304193367	0.300336304193368	0.117881989721081	0.202008287765009	0.320265504605484	0.21129305705893	0.663529029293657	0.734190319206417	0.266742008802761	0.144104260256365	0.143835653403061	0.999998833282824	1	0.999959748234635	0.999959748181132	0.989849699009141	0.989238486172587	0.989849699009141	0.989238486172587	0.989238486172587	0.999959748234635	0.165943447435536	0.99655526552962	0.963757325902888	0.912384028075978	0.888362024608377	0.898344963430677	0.740276810089244
Reliable Reads	0.418575959112154	0.300325574247114	0.300325574247116	0.117100717839448	0.201153982685403	0.319641598517279	0.211369102434843	0.663298264345807	0.733628792459558	0.26461003778002	0.147503904490242	0.147229933568773	0.999961498355659	0.999959748234635	1	0.999998687443082	0.990287521279829	0.989700226780519	0.990287521279829	0.989700226780519	0.989700226780519	1	0.168370315815571	0.996190087284978	0.964413063623823	0.912824566419321	0.887962109144184	0.897905452015111	0.739730473508193
Percentage Reliable Reads	0.418559193819446	0.300314474492424	0.300314474492425	0.117161699449525	0.201198445407918	0.319595705966415	0.211361065062815	0.663315954507677	0.733648398298915	0.264657755376394	0.147518973754775	0.14724500261255	0.999961644145738	0.999959748181132	0.999998687443082	1	0.990292467084637	0.989704150935664	0.990292467084637	0.989704150935664	0.989704150935664	0.999998687443082	0.168348369168979	0.996189644765845	0.964437080500586	0.912814972397608	0.887940231515174	0.897889564609403	0.739663685589578
OnTarget Reliable Reads	0.422594890769062	0.308789514789241	0.308789514789242	0.0867445807080346	0.172399219924065	0.310435920873514	0.183815064088662	0.65180560736438	0.717031099411074	0.237040605470585	0.189723033090423	0.189426413323882	0.98986254473448	0.989849699009141	0.990287521279829	0.990292467084637	1	0.999522667044304	1	0.999522667044304	0.999522667044304	0.990287521279829	0.276139667068652	0.984049378949437	0.979319777139867	0.940221580236251	0.907569878749617	0.916479013631915	0.766483315628752
OnTarget Reliable Bases	0.427325106225996	0.312127204036638	0.312127204036639	0.0880956168563175	0.174405200296971	0.313670705740624	0.185776745514445	0.632194484299984	0.70058913507673	0.241493371393223	0.196742847917464	0.19643783494167	0.98924695742214	0.989238486172587	0.989700226780519	0.989704150935664	0.999522667044304	1	0.999522667044304	1	1	0.989700226780519	0.278209090179893	0.982627591386716	0.97954364414472	0.938397570893712	0.903540995599507	0.912158864142096	0.760804930210598
Percentage OnTarget Reliable Reads	0.422594890769062	0.308789514789242	0.308789514789242	0.0867445807080346	0.172399219924065	0.310435920873514	0.183815064088662	0.65180560736438	0.717031099411074	0.237040605470585	0.189723033090423	0.189426413323882	0.98986254473448	0.989849699009141	0.990287521279829	0.990292467084637	1	0.999522667044304	1	0.999522667044304	0.999522667044304	0.990287521279829	0.276139667068652	0.984049378949437	0.979319777139867	0.940221580236251	0.907569878749617	0.916479013631915	0.766483315628752
Percentage OnTarget Reliable Bases	0.427325106225996	0.312127204036638	0.312127204036639	0.0880956168563175	0.174405200296971	0.313670705740624	0.185776745514445	0.632194484299984	0.70058913507673	0.241493371393223	0.196742847917464	0.19643783494167	0.98924695742214	0.989238486172587	0.989700226780519	0.989704150935664	0.999522667044304	1	0.999522667044304	1	1	0.989700226780519	0.278209090179893	0.982627591386716	0.97954364414472	0.938397570893712	0.903540995599507	0.912158864142096	0.760804930210598
Coverage OnTarget	0.427325106225996	0.312127204036638	0.312127204036639	0.0880956168563175	0.174405200296971	0.313670705740624	0.185776745514445	0.632194484299985	0.70058913507673	0.241493371393223	0.196742847917464	0.19643783494167	0.98924695742214	0.989238486172587	0.989700226780519	0.989704150935664	0.999522667044304	1	0.999522667044304	1	1	0.989700226780519	0.278209090179893	0.982627591386716	0.97954364414472	0.938397570893712	0.903540995599507	0.912158864142096	0.760804930210598
Enrichment	0.418575959112154	0.300325574247115	0.300325574247116	0.117100717839448	0.201153982685403	0.319641598517279	0.211369102434843	0.663298264345806	0.733628792459558	0.26461003778002	0.147503904490242	0.147229933568773	0.999961498355659	0.999959748234635	1	0.999998687443082	0.990287521279829	0.989700226780519	0.990287521279829	0.989700226780519	0.989700226780519	1	0.168370315815571	0.996190087284978	0.964413063623823	0.912824566419321	0.887962109144184	0.897905452015111	0.739730473508193
Specificity	0.463866857328612	0.381604930617868	0.381604930617868	-0.183686039078268	-0.155805596510261	-0.0274953257242994	-0.204677880196505	0.285848954143512	0.415732567893142	-0.225387497271274	0.478132739980133	0.478022571824445	0.165969796626731	0.165943447435536	0.168370315815571	0.168348369168979	0.276139667068652	0.278209090179893	0.276139667068652	0.278209090179893	0.278209090179893	0.168370315815571	1	0.14267863523338	0.295831812954328	0.428436130929572	0.373745682406763	0.327543171463285	0.374760733863797
LC	0.415025925816878	0.293855268086424	0.293855268086425	0.112654597412346	0.197587167177414	0.331115880843644	0.205116084504418	0.67329026288304	0.747775259649336	0.290663657683173	0.0906398842967092	0.0903691744786867	0.996551769398485	0.99655526552962	0.996190087284978	0.996189644765845	0.984049378949437	0.982627591386716	0.984049378949437	0.982627591386716	0.982627591386716	0.996190087284978	0.14267863523338	1	0.957144119698903	0.909081734444238	0.895776345581894	0.906863756106383	0.753066819578209
DP1	0.41955314925477	0.300965821528482	0.300965821528483	0.0679781681957194	0.165052202518908	0.351584166697675	0.193562245618918	0.623773037169359	0.702321392473956	0.24457272091079	0.22144570655799	0.221054731698635	0.963814537363483	0.963757325902888	0.964413063623823	0.964437080500586	0.979319777139867	0.97954364414472	0.979319777139867	0.97954364414472	0.97954364414472	0.964413063623823	0.295831812954328	0.957144119698903	1	0.928582324898768	0.88495849626738	0.896988730386818	0.749073476824079
DP4	0.453656507428581	0.333974236446835	0.333974236446835	0.0638548720983163	0.152587195446333	0.298464721995604	0.103402217729287	0.64757206357616	0.700943517095377	0.240119985261247	0.20888342281352	0.208591794254006	0.912384713659157	0.912384028075978	0.912824566419321	0.912814972397608	0.940221580236251	0.938397570893712	0.940221580236251	0.938397570893712	0.938397570893712	0.912824566419321	0.428436130929572	0.909081734444238	0.928582324898768	1	0.969409509622687	0.947248103531404	0.849875959585396
DP10	0.533586329417531	0.393043231436568	0.393043231436568	0.0432621223463794	0.132128211274131	0.300952025884519	0.111480245917816	0.508460549067599	0.600791130636166	0.253056649994855	0.104384971540256	0.104166159257072	0.888365509255918	0.888362024608377	0.887962109144184	0.887940231515174	0.907569878749617	0.903540995599507	0.907569878749617	0.903540995599507	0.903540995599507	0.887962109144184	0.373745682406763	0.895776345581894	0.88495849626738	0.969409509622687	1	0.96852338900068	0.88877053229721
DP20	0.541767415126018	0.380936122120483	0.380936122120483	0.0480124453387931	0.135333053294465	0.30330330212664	0.14067584085263	0.501147279856454	0.59554401360125	0.243616319493027	0.0919877469367588	0.0917283839996451	0.898358793312422	0.898344963430677	0.897905452015111	0.897889564609403	0.916479013631915	0.912158864142096	0.916479013631915	0.912158864142096	0.912158864142096	0.897905452015111	0.327543171463285	0.906863756106383	0.896988730386818	0.947248103531404	0.96852338900068	1	0.871094508720062
DP50	0.590248582079137	0.33955265625266	0.339552656252661	0.0613561281168006	0.153235833470418	0.2809225102213	0.0581862577435323	0.471471787702734	0.595882290393608	0.188179689181616	0.0342017616009475	0.0339813449356694	0.740287042263911	0.740276810089244	0.739730473508193	0.739663685589578	0.766483315628752	0.760804930210598	0.766483315628752	0.760804930210598	0.760804930210598	0.739730473508193	0.374760733863797	0.753066819578209	0.749073476824079	0.849875959585396	0.88877053229721	0.871094508720062	1
