Extract ID	Site	Subspecies	Common name	Total DNA Concentration (ng/ul)	Endogenous DNA (qPCR - pg/ul)	% Endogenous DNA	Average Fragment Size	Sequencing Batch	Capture Pool	Starting DNA  (ug)	Production Reads	Production Bases	Mapped Reads	Percentage Mapped Reads	Unique Reads	Percentage Unique Reads	Reliable Reads	Percentage Reliable Reads	OnTarget Reliable Reads	OnTarget Reliable Bases	Percentage OnTarget Reliable Reads	Percentage OnTarget Reliable Bases	Coverage OnTarget	Enrichment Factor (EF)	Capture Specificity (CSp)	Library Complexity (LC)	Capture Sensitivity (CS) DP1	Capture Sensitivity (CS) DP4	Capture Sensitivity (CS) DP10	Capture Sensitivity (CS) DP50
Starting DNA  (ug)	0.166666666666671	0.0602976156653544	0.0167981684037821	0.0167981684037819	-0.022870481594243	0.00378024489161042	0.127669340754087	-0.00349678161697574	1	1	1	-0.364166008729435	-0.490825749817199	-0.364628083180099	-0.0890776857670336	0.240792130401952	0.776233735511113	0.24099749682447	0.744761331260282	0.252754724513606	0.23391236726146	0.739935220331117	0.743426449513917	0.23391236726146	0.739935220331117	0.111873358666493	0.773717996835271	0.211938148038222	0.278656679049166	0.269674359792593	0.149573831781871
Production Reads	0.820260124499504	0.370101455936645	0.120023843543086	0.120023843543087	-0.00893896176172165	0.043112244366516	0.242870233028551	0.0337450398978352	0.224196789295757	0.753709584214129	-0.364166008729435	1	0.910257650809225	0.99833140115257	0.321943225318163	0.719628142002241	-0.474023416674936	0.719617459025133	-0.450696725277177	0.699871824818898	0.712707972023131	-0.433579719764966	-0.341451574167493	0.712707972023131	-0.433579719764966	-0.0686136803328651	-0.522998703456375	0.340683632466964	0.285130008803212	0.301947987593877	0.307733246959743
Production Bases	0.734736436032169	0.332856222774445	0.106856211439278	0.10685621143928	0.00300896827966743	0.047168310594366	0.20341914611067	0.0297427388929454	0.322068527843732	0.759075689577784	-0.490825749817199	0.910257650809225	1	0.91483201942987	0.396437679106788	0.5315974728185	-0.594005165219431	0.531419971045023	-0.568750196453786	0.519987131121423	0.534481904088741	-0.541309326218471	-0.591669907512126	0.534481904088741	-0.541309326218471	0.00920461742923606	-0.648850747921391	0.222465191470793	0.164756227715982	0.174916315031853	0.207656694942528
Mapped Reads	0.82531005979271	0.368073134102579	0.125828055463428	0.125828055463429	-0.00866218763766319	0.0418763153715556	0.236207367247828	0.0302284889481646	0.220369072010641	0.730529936329552	-0.364628083180099	0.99833140115257	0.91483201942987	1	0.357099875769303	0.720992892327712	-0.472962309429556	0.721089039121678	-0.449049492383962	0.702133739779524	0.71519094256066	-0.430487408776107	-0.343837576016059	0.71519094256066	-0.430487408776107	-0.0548525677254524	-0.524841517007402	0.339420986749616	0.283837470763066	0.299462425415726	0.303549541380516
Percentage Mapped Reads	0.977430520181585	0.513776169709932	0.0370574537432662	0.0370574537432661	-0.0337056226891618	-0.0403058739237614	-0.0126555974216883	-0.111022038107249	0.0964836006643461	0.232810591279856	-0.0890776857670336	0.321943225318163	0.396437679106788	0.357099875769303	1	0.273426895668608	-0.13280892242248	0.275823991378016	-0.105322649534458	0.3063684719049	0.313446987546679	-0.049652217734687	-0.122788289895732	0.313446987546679	-0.049652217734687	0.414413226183073	-0.233245137139637	0.0217291754364664	0.012008595691267	0.00687754037747378	-0.0590843735027666
Unique Reads	0.982454300609587	0.52166794264705	0.21195390673706	0.21195390673706	0.0347091600476633	0.110985807324002	0.325580875678234	0.0862335799170915	0.203097341534345	0.480193726319272	0.240792130401952	0.719628142002241	0.5315974728185	0.720992892327712	0.273426895668608	1	0.15262748849166	0.99996774562681	0.17170728560549	0.991809649070365	0.990543869878868	0.1869011497965	0.255416423474856	0.990543869878868	0.1869011497965	0.0506128639068839	0.107671671846883	0.56818831294631	0.571325028684881	0.582125297958637	0.510491682555733
Percentage Unique Reads	0.242060484963651	0.111983001559518	0.0504466585757384	0.0504466585757384	0.0685614915152793	0.075226261736482	0.0203110106663965	0.0762607038891459	0.960946666549508	0.969280689550293	0.776233735511113	-0.474023416674936	-0.594005165219431	-0.472962309429556	-0.13280892242248	0.15262748849166	1	0.152587838211242	0.985614960441141	0.173767045768545	0.157536530005531	0.972725332235452	0.891918266185686	0.157536530005531	0.972725332235452	0.192161899696295	0.980418513845857	0.200945361297259	0.26757109061944	0.265379704894102	0.200943947259442
Reliable Reads	0.982432123096936	0.522306457811001	0.212392673494153	0.212392673494153	0.034433413296003	0.110615542311713	0.324770212948529	0.0857724872250814	0.20305397359276	0.478752676999139	0.24099749682447	0.719617459025133	0.531419971045023	0.721089039121678	0.275823991378016	0.99996774562681	0.152587838211242	1	0.17169434276784	0.991985096425168	0.990717981870475	0.187093032500698	0.255806352139276	0.990717981870475	0.187093032500698	0.0525043671804973	0.107502182306237	0.567699772185513	0.570451386784584	0.580987036418112	0.508934942861891
Percentage Reliable Reads	0.398793361760127	0.203252139569722	0.0992491106690865	0.0992491106690863	0.091098959813239	0.0969056686075166	0.00856895195534074	0.0943692769079328	0.884921322885243	0.91829618840406	0.744761331260282	-0.450696725277177	-0.568750196453786	-0.449049492383962	-0.105322649534458	0.17170728560549	0.985614960441141	0.17169434276784	1	0.193091524146507	0.177024335669019	0.988978454695035	0.906235715370154	0.177024335669019	0.988978454695035	0.217274497247798	0.962421189931623	0.218455171660034	0.284418049719031	0.280177926696251	0.212167192676383
OnTarget Reliable Reads	0.98363264566838	0.534733380413925	0.226702311690783	0.226702311690783	0.0278218609650238	0.103900430843001	0.312675083870931	0.0693441080309677	0.204693545591211	0.452534825158063	0.252754724513606	0.699871824818898	0.519987131121423	0.702133739779524	0.3063684719049	0.991809649070365	0.173767045768545	0.991985096425168	0.193091524146507	1	0.999002528321833	0.219263996292185	0.273079698912617	0.999002528321833	0.219263996292185	0.139811408474518	0.127148998974229	0.548788026519258	0.558286038884045	0.568667391703892	0.501618607895423
OnTarget Reliable Bases	0.985537320281596	0.53619020636135	0.227111901788949	0.22711190178895	0.0305267285827094	0.106390992474859	0.312692383095754	0.0669431007267109	0.190347646626771	0.445397448070248	0.23391236726146	0.712707972023131	0.534481904088741	0.71519094256066	0.313446987546679	0.990543869878868	0.157536530005531	0.990717981870475	0.177024335669019	0.999002528321833	1	0.203409236060782	0.25859164353862	1	0.203409236060782	0.138570649433106	0.110238365479766	0.548597096479667	0.554915689443488	0.565460339836829	0.501400427166127
Percentage OnTarget Reliable Reads	0.420554263709178	0.203551084658923	0.113698807573828	0.113698807573828	0.0661890831734983	0.0751588661071641	0.0155890031418433	0.0562785822225211	0.873279622917986	0.907158508285585	0.739935220331117	-0.433579719764966	-0.541309326218471	-0.430487408776107	-0.049652217734687	0.1869011497965	0.972725332235452	0.187093032500698	0.988978454695035	0.219263996292185	0.203409236060782	1	0.898357841520911	0.203409236060782	1	0.327910695241987	0.945450869912771	0.191049431984053	0.261167773142801	0.26252865814225	0.199188047570192
Percentage OnTarget Reliable Bases	0.348338057680527	0.164507517862935	0.0981021264967901	0.0981021264967901	0.0599231389172529	0.0687729247548161	0.0135755144431383	0.060074172332508	0.911244645225285	0.933675172301223	0.743426449513917	-0.341451574167493	-0.591669907512126	-0.343837576016059	-0.122788289895732	0.255416423474856	0.891918266185686	0.255806352139276	0.906235715370154	0.273079698912617	0.25859164353862	0.898357841520911	1	0.25859164353862	0.898357841520911	0.170817927761298	0.871946029599653	0.244762413670759	0.306652210401346	0.30778361958713	0.212741278609094
Coverage OnTarget	0.985537320281596	0.53619020636135	0.227111901788949	0.227111901788949	0.0305267285827094	0.106390992474859	0.312692383095754	0.0669431007267109	0.190347646626771	0.445397448070248	0.23391236726146	0.712707972023131	0.534481904088741	0.71519094256066	0.313446987546679	0.990543869878868	0.157536530005531	0.990717981870475	0.177024335669019	0.999002528321833	1	0.203409236060782	0.25859164353862	1	0.203409236060782	0.138570649433106	0.110238365479766	0.548597096479667	0.554915689443488	0.565460339836829	0.501400427166127
Enrichment Factor (EF)	0.420554263709178	0.203551084658923	0.113698807573828	0.113698807573828	0.0661890831734983	0.0751588661071641	0.0155890031418433	0.0562785822225211	0.873279622917986	0.907158508285585	0.739935220331117	-0.433579719764966	-0.541309326218471	-0.430487408776107	-0.049652217734687	0.1869011497965	0.972725332235452	0.187093032500698	0.988978454695035	0.219263996292185	0.203409236060782	1	0.898357841520911	0.203409236060782	1	0.327910695241987	0.945450869912771	0.191049431984053	0.261167773142801	0.26252865814225	0.199188047570192
Capture Specificity (CSp)	0.912937140864343	0.405559293422084	0.270867208157148	0.270867208157148	-0.113472870425415	-0.121799518237846	-0.122088687621105	-0.220296485597054	0.2285283036286	0.405706045014359	0.111873358666493	-0.0686136803328651	0.00920461742923606	-0.0548525677254524	0.414413226183073	0.0506128639068839	0.192161899696295	0.0525043671804973	0.217274497247798	0.139811408474518	0.138570649433106	0.327910695241987	0.170817927761298	0.138570649433106	0.327910695241987	1	0.137725968078032	-0.135647101821304	-0.0850249252448169	-0.0535499615279503	-0.067335953042269
Library Complexity (LC)	0.369125342907581	0.19739799788244	0.0943704414117019	0.0943704414117018	0.0500716649915048	0.057102590735404	0.0245990873033994	0.0627098389815336	0.907013778911699	0.938601346966618	0.773717996835271	-0.522998703456375	-0.648850747921391	-0.524841517007402	-0.233245137139637	0.107671671846883	0.980418513845857	0.107502182306237	0.962421189931623	0.127148998974229	0.110238365479766	0.945450869912771	0.871946029599653	0.110238365479766	0.945450869912771	0.137725968078032	1	0.168458222471766	0.238091095015896	0.235724607076319	0.181777074998602
Capture Sensitivity (CS) DP1	0.943447189423984	0.380466706679972	0.257198959469237	0.257198959469239	0.168827695237106	0.226594379490667	0.338574523573249	0.153597085248289	0.228915764312956	0.527096339965461	0.211938148038222	0.340683632466964	0.222465191470793	0.339420986749616	0.0217291754364664	0.56818831294631	0.200945361297259	0.567699772185513	0.218455171660034	0.548788026519258	0.548597096479667	0.191049431984053	0.244762413670759	0.548597096479667	0.191049431984053	-0.135647101821304	0.168458222471766	1	0.952068132768996	0.924635396308929	0.844498521882752
Capture Sensitivity (CS) DP4	0.984076164931503	0.504544411444794	0.296831738751449	0.29683173875145	0.184440954829897	0.233872792602584	0.28623926353916	0.15885636061427	0.174121276285612	0.45659982107918	0.278656679049166	0.285130008803212	0.164756227715982	0.283837470763066	0.012008595691267	0.571325028684881	0.26757109061944	0.570451386784584	0.284418049719031	0.558286038884045	0.554915689443488	0.261167773142801	0.306652210401346	0.554915689443488	0.261167773142801	-0.0850249252448169	0.238091095015896	0.952068132768996	1	0.979158536692679	0.888658164918908
Capture Sensitivity (CS) DP10	0.986054150574775	0.625019811630224	0.336713580139366	0.336713580139366	0.127466181023594	0.17791640101323	0.293669905834722	0.133906994215402	0.0802094044647917	0.216852413933517	0.269674359792593	0.301947987593877	0.174916315031853	0.299462425415726	0.00687754037747378	0.582125297958637	0.265379704894102	0.580987036418112	0.280177926696251	0.568667391703892	0.565460339836829	0.26252865814225	0.30778361958713	0.565460339836829	0.26252865814225	-0.0535499615279503	0.235724607076319	0.924635396308929	0.979158536692679	1	0.916192709865993
Capture Sensitivity (CS) DP50	0.984581769212454	0.59595227392232	0.330325640593343	0.330325640593343	0.124483057611168	0.167246928819651	0.275921198783845	0.139010708324842	0.100198712537144	0.287281173522918	0.149573831781871	0.307733246959743	0.207656694942528	0.303549541380516	-0.0590843735027666	0.510491682555733	0.200943947259442	0.508934942861891	0.212167192676383	0.501618607895423	0.501400427166127	0.199188047570192	0.212741278609094	0.501400427166127	0.199188047570192	-0.067335953042269	0.181777074998602	0.844498521882752	0.888658164918908	0.916192709865993	1
